left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
0	0	NA	0	-1	1	33	59
52	53	attention.level.author_03	0.004623	1	NA	34	59
0	0	NA	0	-1	0	35	59
0	0	NA	0	-1	1	36	59
54	55	avg.disc.length_04	3.75	1	NA	37	59
0	0	NA	0	-1	0	38	59
0	0	NA	0	-1	0	39	59
56	57	contribution.sparseness_02	0.0275	1	NA	40	59
58	59	attention.level.contrib_06	0.012252	1	NA	41	59
0	0	NA	0	-1	0	42	59
0	0	NA	0	-1	0	43	59
0	0	NA	0	-1	1	44	59
60	61	burstiness_06	0.696154	1	NA	45	59
0	0	NA	0	-1	1	46	59
62	63	avg.auths.per.disc_05	3.9102565	1	NA	47	59
64	65	contribution.sparseness_00	0.0122705	1	NA	48	59
0	0	NA	0	-1	1	49	59
66	67	num.displays_01	1899	1	NA	50	59
0	0	NA	0	-1	0	51	59
68	69	num.displays_00	486.5	1	NA	52	59
0	0	NA	0	-1	0	53	59
0	0	NA	0	-1	0	54	59
70	71	attention.level.author_04	0.0003585	1	NA	55	59
72	73	num.displays_05	3440.5	1	NA	56	59
0	0	NA	0	-1	0	57	59
74	75	num.displays_07	5206	1	NA	58	59
0	0	NA	0	-1	0	59	59
76	77	atomic.containers_06	81	1	NA	60	59
0	0	NA	0	-1	1	61	59
0	0	NA	0	-1	0	62	59
78	79	num.new.disc_01	2	1	NA	63	59
80	81	num.displays_00	288	1	NA	64	59
82	83	num.authors.topic_01	8.5	1	NA	65	59
84	85	number.total.disc_07	6.5	1	NA	66	59
0	0	NA	0	-1	1	67	59
86	87	num.new.disc_00	0.5	1	NA	68	59
88	89	num.displays_00	532.5	1	NA	69	59
0	0	NA	0	-1	1	70	59
90	91	num.authors.topic_06	27.5	1	NA	71	59
92	93	num.authors.topic_07	8.5	1	NA	72	59
0	0	NA	0	-1	0	73	59
94	95	num.displays_06	2547	1	NA	74	59
0	0	NA	0	-1	1	75	59
96	97	auth.increase_05	15.5	1	NA	76	59
0	0	NA	0	-1	1	77	59
0	0	NA	0	-1	0	78	59
98	99	burstiness_07	0.4236595	1	NA	79	59
0	0	NA	0	-1	0	80	59
0	0	NA	0	-1	0	81	59
0	0	NA	0	-1	0	82	59
0	0	NA	0	-1	1	83	59
0	0	NA	0	-1	0	84	59
0	0	NA	0	-1	1	85	59
0	0	NA	0	-1	0	86	59
0	0	NA	0	-1	0	87	59
0	0	NA	0	-1	0	88	59
0	0	NA	0	-1	0	89	59
0	0	NA	0	-1	0	90	59
0	0	NA	0	-1	1	91	59
0	0	NA	0	-1	1	92	59
0	0	NA	0	-1	1	93	59
0	0	NA	0	-1	0	94	59
0	0	NA	0	-1	1	95	59
0	0	NA	0	-1	1	96	59
0	0	NA	0	-1	0	97	59
0	0	NA	0	-1	1	98	59
0	0	NA	0	-1	1	99	59
2	3	num.displays_06	2388.5	1	NA	1	60
4	5	num.displays_02	1226.5	1	NA	2	60
6	7	num.authors.topic_05	16.5	1	NA	3	60
8	9	num.authors.topic_07	27.5	1	NA	4	60
10	11	atomic.containers_03	3.5	1	NA	5	60
12	13	num.displays_05	3057	1	NA	6	60
14	15	attention.level.author_05	0.011103	1	NA	7	60
16	17	num.displays_07	1621	1	NA	8	60
0	0	NA	0	-1	0	9	60
18	19	num.displays_07	1720	1	NA	10	60
20	21	avg.auths.per.disc_03	4.3666665	1	NA	11	60
22	23	avg.auths.per.disc_06	12.3095235	1	NA	12	60
24	25	avg.auths.per.disc_04	4.9615385	1	NA	13	60
26	27	attention.level.contrib_07	0.0004115	1	NA	14	60
28	29	number.total.disc_02	1.5	1	NA	15	60
30	31	attention.level.contrib_03	0.012119	1	NA	16	60
0	0	NA	0	-1	0	17	60
0	0	NA	0	-1	0	18	60
32	33	num.displays_06	1662.5	1	NA	19	60
0	0	NA	0	-1	0	20	60
0	0	NA	0	-1	0	21	60
34	35	avg.auths.per.disc_02	40.25	1	NA	22	60
0	0	NA	0	-1	1	23	60
36	37	num.displays_03	12597.5	1	NA	24	60
38	39	num.displays_04	18200.5	1	NA	25	60
0	0	NA	0	-1	0	26	60
40	41	num.displays_04	36295	1	NA	27	60
0	0	NA	0	-1	0	28	60
42	43	avg.auths.per.disc_05	4.1314285	1	NA	29	60
44	45	attention.level.author_00	0.0119805	1	NA	30	60
0	0	NA	0	-1	1	31	60
0	0	NA	0	-1	1	32	60
0	0	NA	0	-1	0	33	60
46	47	atomic.containers_02	16.5	1	NA	34	60
0	0	NA	0	-1	1	35	60
48	49	num.new.disc_06	9.5	1	NA	36	60
0	0	NA	0	-1	0	37	60
50	51	num.new.disc_06	7	1	NA	38	60
0	0	NA	0	-1	0	39	60
52	53	num.authors.topic_02	10.5	1	NA	40	60
0	0	NA	0	-1	0	41	60
0	0	NA	0	-1	1	42	60
54	55	attention.level.contrib_00	0.000711	1	NA	43	60
56	57	num.displays_06	704.5	1	NA	44	60
0	0	NA	0	-1	1	45	60
58	59	num.displays_01	2830.5	1	NA	46	60
0	0	NA	0	-1	0	47	60
60	61	avg.disc.length_00	16.666667	1	NA	48	60
0	0	NA	0	-1	0	49	60
62	63	avg.auths.per.disc_07	6.1714285	1	NA	50	60
0	0	NA	0	-1	0	51	60
0	0	NA	0	-1	1	52	60
0	0	NA	0	-1	1	53	60
0	0	NA	0	-1	0	54	60
64	65	avg.disc.length_01	65.708332	1	NA	55	60
66	67	auth.increase_02	12.5	1	NA	56	60
68	69	auth.increase_01	11	1	NA	57	60
70	71	avg.disc.length_01	56.25	1	NA	58	60
0	0	NA	0	-1	0	59	60
0	0	NA	0	-1	1	60	60
72	73	avg.disc.length_04	23.6071425	1	NA	61	60
74	75	avg.auths.per.disc_05	6.7	1	NA	62	60
76	77	atomic.containers_06	40.5	1	NA	63	60
78	79	avg.auths.per.disc_02	4.5227275	1	NA	64	60
0	0	NA	0	-1	0	65	60
80	81	num.authors.topic_07	8.5	1	NA	66	60
0	0	NA	0	-1	0	67	60
82	83	avg.auths.per.disc_05	6.9	1	NA	68	60
0	0	NA	0	-1	0	69	60
84	85	num.displays_07	2740	1	NA	70	60
0	0	NA	0	-1	0	71	60
0	0	NA	0	-1	1	72	60
0	0	NA	0	-1	0	73	60
0	0	NA	0	-1	1	74	60
0	0	NA	0	-1	1	75	60
86	87	contribution.sparseness_05	0.006089	1	NA	76	60
0	0	NA	0	-1	1	77	60
0	0	NA	0	-1	1	78	60
88	89	attention.level.contrib_05	0.081626	1	NA	79	60
90	91	avg.auths.per.disc_00	1.888889	1	NA	80	60
0	0	NA	0	-1	0	81	60
92	93	num.displays_06	705.5	1	NA	82	60
94	95	num.displays_03	1144	1	NA	83	60
0	0	NA	0	-1	0	84	60
0	0	NA	0	-1	1	85	60
0	0	NA	0	-1	1	86	60
0	0	NA	0	-1	1	87	60
96	97	avg.auths.per.disc_07	23.136364	1	NA	88	60
0	0	NA	0	-1	0	89	60
98	99	avg.disc.length_07	107.5	1	NA	90	60
0	0	NA	0	-1	0	91	60
0	0	NA	0	-1	1	92	60
0	0	NA	0	-1	0	93	60
0	0	NA	0	-1	0	94	60
0	0	NA	0	-1	0	95	60
0	0	NA	0	-1	1	96	60
0	0	NA	0	-1	1	97	60
0	0	NA	0	-1	0	98	60
0	0	NA	0	-1	0	99	60
2	3	num.displays_03	1648.5	1	NA	1	61
4	5	num.displays_05	997.5	1	NA	2	61
6	7	num.displays_05	3774	1	NA	3	61
8	9	num.authors.topic_03	12.5	1	NA	4	61
10	11	num.authors.topic_06	35.5	1	NA	5	61
12	13	num.displays_06	2872	1	NA	6	61
14	15	attention.level.author_05	0.0102745	1	NA	7	61
16	17	num.displays_06	1737	1	NA	8	61
0	0	NA	0	-1	0	9	61
18	19	num.displays_07	1776.5	1	NA	10	61
0	0	NA	0	-1	1	11	61
20	21	avg.disc.length_07	100.75	1	NA	12	61
22	23	attention.level.author_04	0.000689	1	NA	13	61
24	25	atomic.containers_00	69.5	1	NA	14	61
26	27	contribution.sparseness_07	0.0022035	1	NA	15	61
28	29	num.authors.topic_07	29.5	1	NA	16	61
0	0	NA	0	-1	1	17	61
30	31	avg.auths.per.disc_04	16.4333335	1	NA	18	61
32	33	avg.auths.per.disc_05	4.75	1	NA	19	61
34	35	contribution.sparseness_00	0.004728	1	NA	20	61
0	0	NA	0	-1	1	21	61
0	0	NA	0	-1	1	22	61
36	37	burstiness_05	0.2792205	1	NA	23	61
38	39	attention.level.author_07	0.002079	1	NA	24	61
40	41	avg.auths.per.disc_00	3.2916665	1	NA	25	61
0	0	NA	0	-1	1	26	61
42	43	num.displays_07	101011.5	1	NA	27	61
44	45	num.authors.topic_00	1.5	1	NA	28	61
0	0	NA	0	-1	1	29	61
46	47	attention.level.contrib_05	0.0008765	1	NA	30	61
0	0	NA	0	-1	0	31	61
0	0	NA	0	-1	0	32	61
0	0	NA	0	-1	1	33	61
48	49	num.displays_06	1746	1	NA	34	61
50	51	num.authors.topic_07	11.5	1	NA	35	61
0	0	NA	0	-1	1	36	61
0	0	NA	0	-1	1	37	61
52	53	num.displays_07	3517	1	NA	38	61
54	55	num.displays_07	3308	1	NA	39	61
0	0	NA	0	-1	0	40	61
0	0	NA	0	-1	1	41	61
56	57	contribution.sparseness_04	0.0096505	1	NA	42	61
0	0	NA	0	-1	1	43	61
58	59	num.displays_06	778.5	1	NA	44	61
60	61	auth.increase_02	11.5	1	NA	45	61
62	63	avg.disc.length_04	109.5	1	NA	46	61
0	0	NA	0	-1	0	47	61
0	0	NA	0	-1	0	48	61
64	65	contribution.sparseness_07	0.0074485	1	NA	49	61
66	67	avg.auths.per.disc_04	2.75	1	NA	50	61
0	0	NA	0	-1	0	51	61
0	0	NA	0	-1	0	52	61
0	0	NA	0	-1	1	53	61
0	0	NA	0	-1	0	54	61
68	69	num.new.disc_06	7.5	1	NA	55	61
70	71	avg.auths.per.disc_04	2.4475	1	NA	56	61
72	73	attention.level.contrib_00	0.002177	1	NA	57	61
74	75	num.new.disc_03	0.5	1	NA	58	61
76	77	num.displays_05	462	1	NA	59	61
78	79	atomic.containers_03	31.5	1	NA	60	61
0	0	NA	0	-1	1	61	61
80	81	atomic.containers_01	9	1	NA	62	61
0	0	NA	0	-1	1	63	61
0	0	NA	0	-1	0	64	61
0	0	NA	0	-1	0	65	61
0	0	NA	0	-1	0	66	61
0	0	NA	0	-1	1	67	61
82	83	num.authors.topic_00	10.5	1	NA	68	61
0	0	NA	0	-1	0	69	61
0	0	NA	0	-1	0	70	61
84	85	contribution.sparseness_02	0.0216605	1	NA	71	61
0	0	NA	0	-1	1	72	61
0	0	NA	0	-1	1	73	61
86	87	attention.level.contrib_04	0.0019605	1	NA	74	61
88	89	num.displays_07	993.5	1	NA	75	61
0	0	NA	0	-1	0	76	61
90	91	attention.level.author_05	0.0046115	1	NA	77	61
92	93	atomic.containers_04	3.5	1	NA	78	61
0	0	NA	0	-1	0	79	61
94	95	attention.level.author_05	0.0025225	1	NA	80	61
0	0	NA	0	-1	0	81	61
96	97	atomic.containers_03	34.5	1	NA	82	61
98	99	attention.level.contrib_06	0.0109545	1	NA	83	61
0	0	NA	0	-1	1	84	61
0	0	NA	0	-1	0	85	61
0	0	NA	0	-1	0	86	61
0	0	NA	0	-1	0	87	61
0	0	NA	0	-1	0	88	61
0	0	NA	0	-1	0	89	61
0	0	NA	0	-1	0	90	61
0	0	NA	0	-1	1	91	61
0	0	NA	0	-1	0	92	61
0	0	NA	0	-1	0	93	61
0	0	NA	0	-1	0	94	61
0	0	NA	0	-1	1	95	61
0	0	NA	0	-1	1	96	61
0	0	NA	0	-1	1	97	61
0	0	NA	0	-1	1	98	61
0	0	NA	0	-1	1	99	61
2	3	number.total.disc_01	1.5	1	NA	1	62
4	5	attention.level.author_00	0.000456	1	NA	2	62
6	7	attention.level.author_01	0.003321	1	NA	3	62
8	9	avg.auths.per.disc_07	0.5	1	NA	4	62
10	11	atomic.containers_04	2.5	1	NA	5	62
12	13	attention.level.author_05	0.0018655	1	NA	6	62
14	15	num.displays_07	2358	1	NA	7	62
16	17	num.displays_04	1256	1	NA	8	62
18	19	num.displays_02	1665	1	NA	9	62
20	21	contribution.sparseness_00	0.004401	1	NA	10	62
22	23	contribution.sparseness_04	0.0095125	1	NA	11	62
24	25	num.displays_03	1884	1	NA	12	62
26	27	num.displays_03	1715.5	1	NA	13	62
0	0	NA	0	-1	0	14	62
28	29	attention.level.author_01	0.014076	1	NA	15	62
30	31	avg.disc.length_01	1.5	1	NA	16	62
32	33	num.displays_06	2335	1	NA	17	62
34	35	num.displays_06	1517.5	1	NA	18	62
0	0	NA	0	-1	1	19	62
0	0	NA	0	-1	1	20	62
36	37	num.displays_03	1611.5	1	NA	21	62
38	39	attention.level.author_02	0.0029875	1	NA	22	62
40	41	num.new.disc_03	2.5	1	NA	23	62
42	43	num.displays_03	748.5	1	NA	24	62
44	45	atomic.containers_03	36	1	NA	25	62
0	0	NA	0	-1	0	26	62
46	47	atomic.containers_01	52	1	NA	27	62
48	49	avg.auths.per.disc_02	3.154762	1	NA	28	62
50	51	avg.auths.per.disc_01	4.694203	1	NA	29	62
52	53	num.displays_05	788	1	NA	30	62
54	55	num.authors.topic_04	13.5	1	NA	31	62
0	0	NA	0	-1	0	32	62
0	0	NA	0	-1	1	33	62
56	57	num.displays_02	684.5	1	NA	34	62
0	0	NA	0	-1	0	35	62
58	59	attention.level.author_05	0.0044085	1	NA	36	62
0	0	NA	0	-1	1	37	62
0	0	NA	0	-1	0	38	62
0	0	NA	0	-1	1	39	62
60	61	avg.disc.length_02	134	1	NA	40	62
0	0	NA	0	-1	1	41	62
0	0	NA	0	-1	0	42	62
0	0	NA	0	-1	0	43	62
0	0	NA	0	-1	1	44	62
0	0	NA	0	-1	0	45	62
62	63	attention.level.contrib_01	0.0003165	1	NA	46	62
0	0	NA	0	-1	0	47	62
0	0	NA	0	-1	1	48	62
64	65	num.displays_05	40323.5	1	NA	49	62
0	0	NA	0	-1	1	50	62
66	67	num.displays_05	85799.5	1	NA	51	62
68	69	num.displays_06	1689.5	1	NA	52	62
70	71	contribution.sparseness_05	0.0015875	1	NA	53	62
72	73	avg.disc.length_03	1	1	NA	54	62
0	0	NA	0	-1	1	55	62
74	75	attention.level.contrib_03	0.0012525	1	NA	56	62
76	77	avg.auths.per.disc_01	13.5	1	NA	57	62
78	79	avg.auths.per.disc_05	20	1	NA	58	62
0	0	NA	0	-1	1	59	62
80	81	contribution.sparseness_04	0.031498	1	NA	60	62
0	0	NA	0	-1	1	61	62
0	0	NA	0	-1	0	62	62
82	83	num.displays_04	18997	1	NA	63	62
84	85	num.authors.topic_01	31.5	1	NA	64	62
0	0	NA	0	-1	0	65	62
86	87	num.authors.topic_06	27.5	1	NA	66	62
0	0	NA	0	-1	1	67	62
88	89	num.displays_07	984.5	1	NA	68	62
0	0	NA	0	-1	1	69	62
0	0	NA	0	-1	0	70	62
0	0	NA	0	-1	0	71	62
0	0	NA	0	-1	0	72	62
0	0	NA	0	-1	0	73	62
90	91	atomic.containers_07	161.5	1	NA	74	62
0	0	NA	0	-1	0	75	62
0	0	NA	0	-1	0	76	62
0	0	NA	0	-1	0	77	62
92	93	num.displays_02	1059	1	NA	78	62
0	0	NA	0	-1	0	79	62
94	95	num.displays_07	2544.5	1	NA	80	62
0	0	NA	0	-1	0	81	62
96	97	num.displays_00	2332	1	NA	82	62
0	0	NA	0	-1	0	83	62
98	99	atomic.containers_01	46.5	1	NA	84	62
0	0	NA	0	-1	0	85	62
0	0	NA	0	-1	1	86	62
0	0	NA	0	-1	1	87	62
0	0	NA	0	-1	0	88	62
0	0	NA	0	-1	0	89	62
0	0	NA	0	-1	0	90	62
0	0	NA	0	-1	1	91	62
0	0	NA	0	-1	0	92	62
0	0	NA	0	-1	0	93	62
0	0	NA	0	-1	0	94	62
0	0	NA	0	-1	1	95	62
0	0	NA	0	-1	1	96	62
0	0	NA	0	-1	1	97	62
0	0	NA	0	-1	1	98	62
0	0	NA	0	-1	1	99	62
2	3	num.displays_04	1812.5	1	NA	1	63
4	5	attention.level.author_00	0.000434	1	NA	2	63
6	7	num.displays_06	3797	1	NA	3	63
8	9	num.displays_03	589	1	NA	4	63
10	11	auth.increase_02	2.5	1	NA	5	63
12	13	auth.increase_04	0.5	1	NA	6	63
14	15	attention.level.author_06	0.011702	1	NA	7	63
16	17	num.displays_06	787.5	1	NA	8	63
18	19	num.new.disc_07	2.5	1	NA	9	63
20	21	num.displays_00	1017.5	1	NA	10	63
22	23	num.displays_06	1292.5	1	NA	11	63
24	25	attention.level.author_02	0.001399	1	NA	12	63
26	27	avg.disc.length_01	52.25	1	NA	13	63
28	29	num.displays_03	18458.5	1	NA	14	63
30	31	avg.auths.per.disc_04	2.5357145	1	NA	15	63
32	33	auth.increase_07	25.5	1	NA	16	63
0	0	NA	0	-1	0	17	63
34	35	auth.increase_04	1.5	1	NA	18	63
0	0	NA	0	-1	1	19	63
36	37	atomic.containers_07	121	1	NA	20	63
38	39	contribution.sparseness_00	0.004866	1	NA	21	63
0	0	NA	0	-1	0	22	63
0	0	NA	0	-1	0	23	63
40	41	num.displays_04	3402	1	NA	24	63
0	0	NA	0	-1	1	25	63
42	43	num.displays_06	2093	1	NA	26	63
0	0	NA	0	-1	0	27	63
44	45	attention.level.author_07	0.0029875	1	NA	28	63
0	0	NA	0	-1	0	29	63
0	0	NA	0	-1	0	30	63
46	47	avg.auths.per.disc_07	3.7257465	1	NA	31	63
48	49	num.new.disc_07	1.5	1	NA	32	63
0	0	NA	0	-1	1	33	63
50	51	atomic.containers_02	2.5	1	NA	34	63
0	0	NA	0	-1	0	35	63
52	53	atomic.containers_00	64.5	1	NA	36	63
0	0	NA	0	-1	0	37	63
0	0	NA	0	-1	1	38	63
54	55	num.authors.topic_02	8.5	1	NA	39	63
0	0	NA	0	-1	0	40	63
0	0	NA	0	-1	0	41	63
0	0	NA	0	-1	0	42	63
56	57	avg.auths.per.disc_00	3.55	1	NA	43	63
58	59	num.displays_06	8714	1	NA	44	63
60	61	num.new.disc_06	4.5	1	NA	45	63
0	0	NA	0	-1	1	46	63
62	63	avg.auths.per.disc_02	35.716665	1	NA	47	63
64	65	avg.auths.per.disc_00	7.5	1	NA	48	63
0	0	NA	0	-1	0	49	63
66	67	avg.auths.per.disc_07	3.8333335	1	NA	50	63
0	0	NA	0	-1	0	51	63
68	69	atomic.containers_05	1.5	1	NA	52	63
0	0	NA	0	-1	0	53	63
70	71	avg.auths.per.disc_04	44.75	1	NA	54	63
0	0	NA	0	-1	1	55	63
72	73	contribution.sparseness_07	0.0045065	1	NA	56	63
74	75	attention.level.contrib_05	0.000127	1	NA	57	63
76	77	atomic.containers_05	65.5	1	NA	58	63
0	0	NA	0	-1	1	59	63
78	79	num.displays_07	5124	1	NA	60	63
0	0	NA	0	-1	1	61	63
80	81	num.displays_00	3984	1	NA	62	63
0	0	NA	0	-1	0	63	63
82	83	number.total.disc_07	0.5	1	NA	64	63
0	0	NA	0	-1	0	65	63
84	85	auth.increase_05	8.5	1	NA	66	63
0	0	NA	0	-1	0	67	63
86	87	number.total.disc_07	0.5	1	NA	68	63
88	89	atomic.containers_06	1.5	1	NA	69	63
90	91	attention.level.contrib_07	0.000703	1	NA	70	63
0	0	NA	0	-1	1	71	63
0	0	NA	0	-1	1	72	63
0	0	NA	0	-1	0	73	63
0	0	NA	0	-1	1	74	63
0	0	NA	0	-1	1	75	63
92	93	avg.disc.length_01	33.75	1	NA	76	63
0	0	NA	0	-1	0	77	63
0	0	NA	0	-1	1	78	63
94	95	num.new.disc_03	9.5	1	NA	79	63
0	0	NA	0	-1	1	80	63
96	97	num.authors.topic_03	2.5	1	NA	81	63
98	99	num.displays_00	401.5	1	NA	82	63
0	0	NA	0	-1	0	83	63
0	0	NA	0	-1	0	84	63
0	0	NA	0	-1	1	85	63
0	0	NA	0	-1	0	86	63
0	0	NA	0	-1	0	87	63
0	0	NA	0	-1	0	88	63
0	0	NA	0	-1	0	89	63
0	0	NA	0	-1	0	90	63
0	0	NA	0	-1	0	91	63
0	0	NA	0	-1	1	92	63
0	0	NA	0	-1	1	93	63
0	0	NA	0	-1	1	94	63
0	0	NA	0	-1	0	95	63
0	0	NA	0	-1	0	96	63
0	0	NA	0	-1	1	97	63
0	0	NA	0	-1	0	98	63
0	0	NA	0	-1	0	99	63
2	3	num.authors.topic_05	5.5	1	NA	1	64
4	5	attention.level.contrib_04	0.0001845	1	NA	2	64
6	7	num.authors.topic_01	7.5	1	NA	3	64
8	9	num.displays_06	1780.5	1	NA	4	64
10	11	num.displays_07	1828	1	NA	5	64
12	13	num.displays_06	2465.5	1	NA	6	64
14	15	num.displays_04	1528	1	NA	7	64
16	17	num.authors.topic_05	1.5	1	NA	8	64
18	19	auth.increase_05	0.5	1	NA	9	64
20	21	number.total.disc_06	7	1	NA	10	64
22	23	num.displays_01	2378.5	1	NA	11	64
24	25	num.displays_02	1026	1	NA	12	64
26	27	avg.auths.per.disc_02	5.25	1	NA	13	64
0	0	NA	0	-1	0	14	64
28	29	num.authors.topic_04	26.5	1	NA	15	64
30	31	attention.level.contrib_07	0.012252	1	NA	16	64
32	33	num.displays_04	1086.5	1	NA	17	64
34	35	avg.auths.per.disc_01	16.5	1	NA	18	64
0	0	NA	0	-1	0	19	64
36	37	attention.level.author_00	0.0039945	1	NA	20	64
0	0	NA	0	-1	1	21	64
38	39	num.displays_04	2415	1	NA	22	64
40	41	avg.auths.per.disc_05	3.25	1	NA	23	64
0	0	NA	0	-1	0	24	64
0	0	NA	0	-1	0	25	64
42	43	num.authors.topic_06	13.5	1	NA	26	64
0	0	NA	0	-1	1	27	64
44	45	avg.auths.per.disc_02	3.0857145	1	NA	28	64
46	47	avg.disc.length_00	75.5	1	NA	29	64
48	49	num.displays_06	1325.5	1	NA	30	64
0	0	NA	0	-1	1	31	64
50	51	avg.disc.length_07	109.5	1	NA	32	64
0	0	NA	0	-1	0	33	64
52	53	attention.level.author_04	0.0006505	1	NA	34	64
0	0	NA	0	-1	1	35	64
54	55	num.authors.topic_03	16.5	1	NA	36	64
0	0	NA	0	-1	0	37	64
56	57	atomic.containers_01	2.5	1	NA	38	64
0	0	NA	0	-1	1	39	64
0	0	NA	0	-1	1	40	64
58	59	attention.level.author_06	0.0295925	1	NA	41	64
0	0	NA	0	-1	1	42	64
0	0	NA	0	-1	0	43	64
0	0	NA	0	-1	1	44	64
60	61	atomic.containers_03	113.5	1	NA	45	64
62	63	attention.level.contrib_04	0.006655	1	NA	46	64
0	0	NA	0	-1	0	47	64
64	65	num.displays_06	455	1	NA	48	64
0	0	NA	0	-1	0	49	64
66	67	avg.auths.per.disc_00	11.5	1	NA	50	64
0	0	NA	0	-1	0	51	64
68	69	num.displays_07	2033.5	1	NA	52	64
0	0	NA	0	-1	0	53	64
70	71	num.authors.topic_00	7.5	1	NA	54	64
0	0	NA	0	-1	0	55	64
0	0	NA	0	-1	1	56	64
0	0	NA	0	-1	0	57	64
72	73	auth.increase_05	4.5	1	NA	58	64
0	0	NA	0	-1	0	59	64
74	75	avg.disc.length_06	25.6875	1	NA	60	64
0	0	NA	0	-1	1	61	64
0	0	NA	0	-1	1	62	64
76	77	avg.auths.per.disc_06	3.184066	1	NA	63	64
78	79	burstiness_04	0.5	1	NA	64	64
80	81	avg.disc.length_06	128.5	1	NA	65	64
82	83	atomic.containers_06	59	1	NA	66	64
0	0	NA	0	-1	0	67	64
0	0	NA	0	-1	0	68	64
0	0	NA	0	-1	1	69	64
84	85	contribution.sparseness_02	0.018434	1	NA	70	64
0	0	NA	0	-1	0	71	64
86	87	num.displays_07	3562.5	1	NA	72	64
0	0	NA	0	-1	0	73	64
0	0	NA	0	-1	1	74	64
88	89	num.displays_00	1368.5	1	NA	75	64
0	0	NA	0	-1	1	76	64
90	91	atomic.containers_07	616	1	NA	77	64
92	93	attention.level.contrib_07	7.05e-05	1	NA	78	64
0	0	NA	0	-1	0	79	64
94	95	attention.level.author_00	0.00353	1	NA	80	64
0	0	NA	0	-1	0	81	64
96	97	attention.level.author_07	0.005143	1	NA	82	64
0	0	NA	0	-1	1	83	64
98	99	num.displays_00	1303	1	NA	84	64
0	0	NA	0	-1	0	85	64
0	0	NA	0	-1	1	86	64
0	0	NA	0	-1	1	87	64
0	0	NA	0	-1	0	88	64
0	0	NA	0	-1	1	89	64
0	0	NA	0	-1	1	90	64
0	0	NA	0	-1	1	91	64
0	0	NA	0	-1	0	92	64
0	0	NA	0	-1	0	93	64
0	0	NA	0	-1	0	94	64
0	0	NA	0	-1	0	95	64
0	0	NA	0	-1	0	96	64
0	0	NA	0	-1	0	97	64
0	0	NA	0	-1	0	98	64
0	0	NA	0	-1	0	99	64
2	3	num.authors.topic_03	3.5	1	NA	1	65
4	5	contribution.sparseness_00	0.0002515	1	NA	2	65
6	7	attention.level.author_01	0.002483	1	NA	3	65
8	9	num.displays_05	1701.5	1	NA	4	65
10	11	num.displays_06	1975	1	NA	5	65
12	13	contribution.sparseness_05	0.0009855	1	NA	6	65
14	15	contribution.sparseness_06	0.0358425	1	NA	7	65
16	17	attention.level.contrib_05	0.0001595	1	NA	8	65
18	19	num.displays_04	6932.5	1	NA	9	65
20	21	number.total.disc_02	9	1	NA	10	65
22	23	attention.level.author_01	0.0020655	1	NA	11	65
24	25	avg.auths.per.disc_01	2.75	1	NA	12	65
26	27	num.displays_02	1781.5	1	NA	13	65
28	29	num.displays_01	1998.5	1	NA	14	65
0	0	NA	0	-1	0	15	65
30	31	num.new.disc_07	2.5	1	NA	16	65
32	33	num.displays_04	1051	1	NA	17	65
34	35	attention.level.author_06	0.005898	1	NA	18	65
0	0	NA	0	-1	0	19	65
36	37	num.displays_01	1038.5	1	NA	20	65
0	0	NA	0	-1	1	21	65
38	39	contribution.sparseness_03	0.0031355	1	NA	22	65
0	0	NA	0	-1	1	23	65
0	0	NA	0	-1	0	24	65
0	0	NA	0	-1	0	25	65
40	41	num.displays_01	1026	1	NA	26	65
42	43	atomic.containers_03	60.5	1	NA	27	65
0	0	NA	0	-1	0	28	65
44	45	attention.level.author_04	0.002819	1	NA	29	65
46	47	avg.disc.length_05	145.5	1	NA	30	65
0	0	NA	0	-1	0	31	65
48	49	num.authors.topic_02	18.5	1	NA	32	65
0	0	NA	0	-1	0	33	65
50	51	contribution.sparseness_06	0.0282355	1	NA	34	65
0	0	NA	0	-1	0	35	65
52	53	num.displays_06	1446.5	1	NA	36	65
54	55	attention.level.author_07	0.0055815	1	NA	37	65
0	0	NA	0	-1	0	38	65
0	0	NA	0	-1	1	39	65
0	0	NA	0	-1	0	40	65
0	0	NA	0	-1	0	41	65
56	57	attention.level.contrib_02	0.000767	1	NA	42	65
0	0	NA	0	-1	0	43	65
0	0	NA	0	-1	1	44	65
58	59	avg.auths.per.disc_06	3.786325	1	NA	45	65
60	61	burstiness_04	0.25	1	NA	46	65
0	0	NA	0	-1	1	47	65
62	63	num.displays_03	692.5	1	NA	48	65
0	0	NA	0	-1	1	49	65
64	65	attention.level.contrib_07	0.000143	1	NA	50	65
0	0	NA	0	-1	0	51	65
66	67	avg.auths.per.disc_05	2.1666665	1	NA	52	65
0	0	NA	0	-1	0	53	65
0	0	NA	0	-1	0	54	65
0	0	NA	0	-1	1	55	65
0	0	NA	0	-1	1	56	65
0	0	NA	0	-1	1	57	65
68	69	contribution.sparseness_07	0.004172	1	NA	58	65
70	71	burstiness_03	0.38067	1	NA	59	65
72	73	num.displays_02	1305	1	NA	60	65
74	75	num.displays_01	1308	1	NA	61	65
0	0	NA	0	-1	0	62	65
0	0	NA	0	-1	0	63	65
0	0	NA	0	-1	1	64	65
0	0	NA	0	-1	1	65	65
76	77	num.displays_02	354	1	NA	66	65
78	79	num.displays_07	1020.5	1	NA	67	65
